time,U1,U2,U3,U4
2020-03-05 00:00:00,1623.37880858829,1657.50655878393,1506.66125892328,2989.56785307008
2020-03-05 04:00:00,1595.38571919514,1646.70580527307,585.539657761256,3054.18580105373
2020-03-05 08:00:00,1597.08692379571,1641.58040603616,585.539657761256,3041.51189981637
2020-03-05 12:00:00,1553.16444785826,1640.12936022068,585.539657761256,2994.30731546111
2020-03-05 16:00:00,1637.84455036855,1612.974311393,1614.08557987915,3037.27764081874
2020-03-05 20:00:00,1675.1058910172,1620.82768925311,2419.88638764288,3041.59471027263
2020-03-06 00:00:00,1636.03593287153,1615.95016839639,905.088292283623,3043.06953949839
2020-03-06 04:00:00,1608.20020939241,1623.88127445785,585.539657761256,3042.34053253195
2020-03-06 08:00:00,1602.71786533857,1630.36831430022,585.539657761256,3031.84785605975
2020-03-06 12:00:00,1586.36455362392,1640.57867634258,585.539657761256,3040.36673827625
2020-03-06 16:00:00,1582.53951386901,1624.11135599624,585.539657761256,3065.25257603501
2020-03-06 20:00:00,1582.95633280949,1626.29419796262,585.539657761256,3052.63632296547
2020-03-07 00:00:00,1594.60676571709,1628.23178087203,585.539657761256,3034.09228864597
2020-03-07 04:00:00,1593.20805607226,1626.5844158964,585.539657761256,3035.9815488105
2020-03-07 08:00:00,1584.58810704883,1642.18346479476,585.539657761256,3054.65536805316
2020-03-07 12:00:00,1593.11417390228,1625.66084047714,585.539657761256,3058.65815086163
2020-03-07 16:00:00,1527.93862047733,1610.68847107056,585.539657761256,3058.65815086163
2020-03-07 20:00:00,1532.44764479739,1613.98871211704,585.539657761256,3058.65815086163
2020-03-08 00:00:00,1541.49907132975,1609.54303722256,585.539657761256,3052.73017493098
2020-03-08 04:00:00,1554.23961550683,1608.0933049225,585.539657761256,3054.2508948373
2020-03-08 08:00:00,1581.09087489944,1606.19952143899,585.539657761256,3043.90043432709
2020-03-08 12:00:00,1583.14184505624,1589.07349423302,585.539657761256,3034.97459095809
2020-03-08 16:00:00,1591.77535477643,1609.93867528866,585.539657761256,3005.58205818457
2020-03-08 20:00:00,1591.44226858826,1616.81801784058,585.539657761256,2975.54848266686
2020-03-09 00:00:00,1577.98974944865,1623.98264723691,585.539657761256,2991.53531366599
2020-03-09 04:00:00,1556.03839864254,1626.70379269457,585.539657761256,2988.04587527957
2020-03-09 08:00:00,1562.0985183371,1620.32264850265,585.539657761256,2967.50727342421
2020-03-09 12:00:00,1557.58286227345,1599.5775037633,585.539657761256,2949.21302106571
2020-03-09 16:00:00,1563.86055311551,1603.67230847914,585.539657761256,2957.06931901036
2020-03-09 20:00:00,1580.15003372092,1608.62237436882,585.539657761256,2994.45618548979
2020-03-10 00:00:00,1590.17943918854,1589.48685314159,585.539657761256,3063.90261081915
2020-03-10 04:00:00,1571.57724417679,1596.53869942918,585.539657761256,3039.59946927164
2020-03-10 08:00:00,1580.66956165675,1596.98962099214,585.539657761256,3045.13149687932
2020-03-10 12:00:00,1590.380433789,1585.59987407459,585.539657761256,3183.98971701287
2020-03-10 16:00:00,1559.56231687367,1543.99182466164,585.539657761256,3184.98290491261
2020-03-10 20:00:00,1635.01615019686,1542.56308177924,327.407428854571,3220.90191666474
2020-03-11 00:00:00,1582.11785229787,1614.05250926915,585.539657761256,3169.24089195272
2020-03-11 04:00:00,1642.58548386049,1555.61113668104,1541.01709401237,3019.85472142945
2020-03-11 08:00:00,1618.21854077869,1576.52480608562,618.212596352592,3017.56919232804
2020-03-11 12:00:00,1625.24021260994,1601.56272781415,558.451321632529,3029.53110629942
2020-03-11 16:00:00,1588.45289403212,1638.23898292781,585.539657761256,3122.87629190918
2020-03-11 20:00:00,1579.2974055678,1664.11134885273,585.539657761256,3117.0275749418
2020-03-12 00:00:00,1510.85399312612,1644.18859447164,585.539657761256,3117.0275749418
2020-03-12 04:00:00,1580.69024180657,1633.66176485751,585.539657761256,3007.45561259826
2020-03-12 08:00:00,1583.23621349217,1634.71693730975,585.539657761256,3011.53497300542
2020-03-12 12:00:00,1584.67980701562,1637.94136135829,585.539657761256,3011.72975859352
2020-03-12 16:00:00,1579.51133155616,1674.43038332868,585.539657761256,3038.29497258848
2020-03-12 20:00:00,1577.18512759407,1681.34604923838,585.539657761256,3020.47410030038
2020-03-13 00:00:00,1571.49630437243,1677.54131967989,585.539657761256,3023.67208204027
2020-03-13 04:00:00,1594.45865134721,1658.94928393956,585.539657761256,3160.09379069073
2020-03-13 08:00:00,1595.61961680143,1656.78030051465,585.539657761256,3889.03144792895
2020-03-13 12:00:00,1608.06306310236,1642.47689748532,585.539657761256,4208.03772052916
2020-03-13 16:00:00,1531.56799716042,1657.59883833852,585.539657761256,4208.03772052916
2020-03-13 20:00:00,1494.72787927005,1679.41263560775,585.539657761256,4208.03772052916
2020-03-14 00:00:00,1509.52725856702,1674.05692179695,585.539657761256,4208.03772052916
2020-03-14 04:00:00,1549.75386662735,1675.46469174567,585.539657761256,3404.52674893195
2020-03-14 08:00:00,1563.17523092852,1689.21631001678,585.539657761256,3437.39449224875
2020-03-14 12:00:00,1557.5290585203,1697.90981176281,585.539657761256,3436.54417599916
2020-03-14 16:00:00,1563.06364333397,1716.41246516229,585.539657761256,3458.83392753119
2020-03-14 20:00:00,1581.6957107743,1721.04764728714,585.539657761256,3468.93364709576
2020-03-15 00:00:00,1558.09645066,1739.24517331349,585.539657761256,3487.12713722686
2020-03-15 04:00:00,1586.44896428136,1721.46839112576,585.539657761256,3450.82888304469
2020-03-15 08:00:00,1582.53310153076,1707.21588221474,585.539657761256,3482.01836614497
2020-03-15 12:00:00,1572.47221008337,1665.72124633763,585.539657761256,3704.80672935455
2020-03-15 16:00:00,1613.46396534362,1726.72188914138,585.539657761256,3488.01929309689
2020-03-15 20:00:00,1511.04257970213,1805.88033141213,585.539657761256,3488.01929309689
2020-03-16 00:00:00,1512.90690968257,1710.04758030165,585.539657761256,3488.01929309689
2020-03-16 04:00:00,1540.42226284512,1694.82925308525,585.539657761256,3045.71751101633
2020-03-16 08:00:00,1546.17442826736,1698.75510301695,585.539657761256,3064.84086969606
2020-03-16 12:00:00,1597.11830221585,1685.00952904928,585.539657761256,3033.11612899077
2020-03-16 16:00:00,1535.61564911829,1731.0756006567,585.539657761256,3058.80561381822
2020-03-16 20:00:00,1567.1271881518,1722.06488054372,585.539657761256,2949.74940476167
2020-03-17 00:00:00,1492.20691571592,1783.54187643898,585.539657761256,2949.74940476167
2020-03-17 04:00:00,1573.75792961469,1749.85876213011,585.539657761256,2735.90286346854
2020-03-17 08:00:00,1565.69472409514,1754.39392955527,585.539657761256,2704.6906454381
2020-03-17 12:00:00,1557.2249080898,1791.35561898728,585.539657761256,2557.8388207088
2020-03-17 16:00:00,1568.99891856722,1732.40787483698,585.539657761256,2648.06206938958
2020-03-17 20:00:00,1573.82702285734,1719.45426210107,585.539657761256,2676.85826631636
2020-03-18 00:00:00,1539.78594819288,1733.01363350677,585.539657761256,2841.05376197604
2020-03-18 04:00:00,1598.88505375042,1686.86941748004,585.539657761256,2920.98530945891
2020-03-18 08:00:00,1709.79562472471,1677.61965942187,5092.29729842694,2876.42292640006
2020-03-18 12:00:00,1584.8722220378,1718.6146700475,585.539657761256,2861.51653795004
2020-03-18 16:00:00,1568.21036693803,1757.29778982274,585.539657761256,2899.68795233412
2020-03-18 20:00:00,1601.23492690573,1727.25263834282,585.539657761256,2895.90572794704
2020-03-19 00:00:00,1529.19722189436,1805.77773398391,585.539657761256,2895.90572794704
2020-03-19 04:00:00,1605.19924576941,1768.97423672093,585.539657761256,3056.38966767284
2020-03-19 08:00:00,1606.49772234787,1737.53106479603,585.539657761256,2932.80592310046
2020-03-19 12:00:00,1578.95988631714,1762.52701343757,585.539657761256,2931.26616680194
2020-03-19 16:00:00,1509.58007411648,1786.254119569,585.539657761256,2931.26616680194
2020-03-19 20:00:00,1583.81630727116,1776.63592560248,585.539657761256,2975.07449521701
2020-03-20 00:00:00,1613.19761311362,1739.03822595073,585.539657761256,2962.03612316304
2020-03-20 04:00:00,1681.68652149341,1731.04478701223,1673.83548221573,2774.86561495455
2020-03-20 08:00:00,1651.01950091705,1660.7977342648,934.247476166449,2814.3397610209
2020-03-20 12:00:00,1624.19981792371,1635.38664309991,759.527389932906,2872.57974921155
2020-03-20 16:00:00,1626.36614594146,1673.09002655729,604.079314186306,2948.10388306034
2020-03-20 20:00:00,1542.56629052887,1687.97248165009,585.539657761256,2854.08463452567
2020-03-21 00:00:00,1550.92748693988,1703.81429832429,585.539657761256,2841.81363725629
2020-03-21 04:00:00,1531.68668012211,1662.4336491404,585.539657761256,2841.81363725629
2020-03-21 08:00:00,1549.68369009635,1617.8603111747,585.539657761256,2802.63478051589
2020-03-21 12:00:00,1528.44646535496,1618.59168839676,585.539657761256,2802.63478051589
2020-03-21 16:00:00,1537.3427135449,1646.39447350687,585.539657761256,2897.63812067898
2020-03-21 20:00:00,1448.06688755944,1622.16663551849,585.539657761256,2897.63812067898
2020-03-22 00:00:00,1479.09538914262,1662.78340143166,585.539657761256,2897.63812067898
2020-03-22 04:00:00,1492.54745603067,1626.46160382033,585.539657761256,2897.63812067898
2020-03-22 08:00:00,1554.33749712061,1593.60756255963,585.539657761256,3022.64072431865
2020-03-22 12:00:00,1480.33012411323,1576.68588221578,585.539657761256,3022.64072431865
2020-03-22 16:00:00,1465.35520219152,1596.35726161935,585.539657761256,3022.64072431865
2020-03-22 20:00:00,1429.51224308055,1601.29515866659,585.539657761256,3022.64072431865
2020-03-23 00:00:00,1450.53956379874,1621.05513919587,585.539657761256,3022.64072431865
2020-03-23 04:00:00,1499.8978129731,1629.44970527684,585.539657761256,3022.64072431865
2020-03-23 08:00:00,1493.84943053923,1622.60768390998,585.539657761256,3022.64072431865
2020-03-23 12:00:00,1520.29405965383,1612.22464592976,585.539657761256,3022.64072431865
2020-03-23 16:00:00,1498.95665518272,1603.83325884621,585.539657761256,3022.64072431865
2020-03-23 20:00:00,1485.67071879309,1617.44121329653,585.539657761256,3022.64072431865
2020-03-24 00:00:00,1484.98685851921,1639.64506958958,585.539657761256,3022.64072431865
2020-03-24 04:00:00,1504.44328121083,1641.57625351572,585.539657761256,3022.64072431865
2020-03-24 08:00:00,1541.48172556389,1649.1606238268,585.539657761256,3057.94375773907
2020-03-24 12:00:00,1513.32130335621,1646.90714379159,585.539657761256,3057.94375773907
2020-03-24 16:00:00,1499.80865023005,1640.66039570128,585.539657761256,3057.94375773907
2020-03-24 20:00:00,1533.06833842991,1644.60436811027,585.539657761256,3057.94375773907
2020-03-25 00:00:00,1524.67990071472,1653.74943554185,585.539657761256,3057.94375773907
2020-03-25 04:00:00,1502.47953645211,1650.36132579246,585.539657761256,3057.94375773907
2020-03-25 08:00:00,1547.4629998561,1625.98749497607,585.539657761256,2872.08618819355
2020-03-25 12:00:00,1523.77423386536,1641.66269176751,585.539657761256,2872.08618819355
2020-03-25 16:00:00,1509.16458622109,1654.9870446719,585.539657761256,2872.08618819355
2020-03-25 20:00:00,1535.31293961787,1628.81891850826,585.539657761256,2824.65701650859
2020-03-26 00:00:00,1479.18078079136,1636.9832853448,585.539657761256,2824.65701650859
2020-03-26 04:00:00,1477.91416591485,1617.78030183012,585.539657761256,2824.65701650859
2020-03-26 08:00:00,1514.1127305867,1619.56659778518,585.539657761256,2824.65701650859
2020-03-26 12:00:00,1490.3598583406,1612.99716747359,585.539657761256,2824.65701650859
2020-03-26 16:00:00,1467.43018538185,1587.19602150857,585.539657761256,2824.65701650859
2020-03-26 20:00:00,1479.64186388084,1617.11121556975,585.539657761256,2824.65701650859
2020-03-27 00:00:00,1508.27360954114,1624.25547255046,585.539657761256,2824.65701650859
2020-03-27 04:00:00,1512.67170616477,1633.91697770716,585.539657761256,2824.65701650859
2020-03-27 08:00:00,1535.03695614109,1671.2989090388,585.539657761256,2736.01517897899
2020-03-27 12:00:00,1564.44824329381,1653.40060565523,585.539657761256,2703.70243985385
2020-03-27 16:00:00,1505.97516351744,1635.78288365408,585.539657761256,2703.70243985385
2020-03-27 20:00:00,1524.79492243103,1624.24684594266,585.539657761256,2703.70243985385
